Word,Class,CEFR,Translation,Meaning,Translation Meaning,Example 1,Example 2,Translation E1,Translation E2,Song/singer,Lyrics,Translation
national,adj.,A2,,,,,,,,,,
national,n.,B2,,,,,,,,,,
nationwide,adj.,C1,,,,,,,,,,
native,n.,B1,,,,,,,,,,
natural,adj.,A1,,,,,,,,Britney Spears - Perfume,And I try to act natural,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 15 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
naturally,adv.,B1,,,,,,,,St. Lundi - Nights Like This - Michael Calfan Remix,"I even made you laugh, it all came naturally",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 13 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nature,n.,A2,,,,,,,,AURORA - Cure For Me,About our nature in love,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 12 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
naval,adj.,C1,,,,,,,,,,
navigation,n.,B2,,,,,,,,,,
near,adv.,A1,,,,,,,,Don Diablo - Believe,Destruction comes near to us,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 10 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nearby,adv.,B2,,,,,,,,Backstreet Boys - The Call,"can hear me we're goin to a place nearby, alright? Gotta go"" {click}",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 08 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nearly,adv.,A2,,,,,,,,INNERVERSE - Life with You,And I’m sorry for the heart I nearly broke,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
neat,adj.,B2,,,,,,,,,,
necessarily,adv.,B1,,,,,,,,,,
necessary,adj.,A2,,,,,,,,Matt Simons - Better Tomorrow - Disco Mix,"What goes up, comes down, it's necessary",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 05 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
necessity,n.,B2,,,,,,,,,,
neck,n.,A2,,,,,,,,Ariana Grande - 7 rings,"My wrist, stop watchin', my neck is flossy",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
need,v.,A1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,"Don't need permission, don't wait round for me",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
need,n.,A2,,,,,,,,Jethro Heston - Cut Me Loose - Edit,"Don't need permission, don't wait round for me",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 34 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
need,modal v.,B1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,"Don't need permission, don't wait round for me",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 59 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
needle,n.,B1,,,,,,,,,,
negative,adj.,A1,,,,,,,,,,
negative,n.,B2,,,,,,,,,,
neglect,v.,C1,,,,,,,,,,
negotiate,v.,B2,,,,,,,,Katy Perry - Rise,And I will not negotiate,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 57 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
negotiation,n.,B2,,,,,,,,,,
neighbour,n.,A1,,,,,,,,,,
neighbourhood,n.,B1,,,,,,,,,,
neighbouring,adj.,C1,,,,,,,,,,
neither,det./pron.,A2,,,,,,,,Ariana Grande - boyfriend (with Social House),"I can't have what I want, but neither can you",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 55 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
neither,adv.,B1,,,,,,,,Ariana Grande - boyfriend (with Social House),"I can't have what I want, but neither can you",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nerve,n.,B2,,,,,,,,Gorgon City - You've Done Enough,You got a lot of nerve comin' 'round here without a reason to love me,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 52 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nervous,adj.,A2,,,,,,,,MENTIS - This Ain't Real,"You make me nervous, I ain't felt this way for nobody else, mm",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 50 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nest,n.,C1,,,,,,,,,,
net,n.,B1,,,,,,,,Ariana Grande - 7 rings,Nothing but net when we shoot,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 48 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
net,adj.,C1,,,,,,,,Ariana Grande - 7 rings,Nothing but net when we shoot,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
network,n.,A2,,,,,,,,,,
neutral,adj.,B2,,,,,,,,,,
never,adv.,A1,,,,,,,,INNERVERSE - Reverie,You can never get too close to me,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 45 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nevertheless,adv.,B2,,,,,,,,,,
new,adj.,A1,,,,,,,,Gryffin - Heading Home,"I tried all my tricks, I broke no new ground",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 43 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
newly,adv.,B2,,,,,,,,,,
news,n.,A1,,,,,,,,Sia - Courage to Change,I watch the news on TV,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 42 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
newsletter,n.,C1,,,,,,,,,,
newspaper,n.,A1,,,,,,,,,,
next,adv.,A1,,,,,,,,Matt Simons - After The Landslide - Remix,I wanna know what's next,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 40 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
next,n.,B1,,,,,,,,Matt Simons - After The Landslide - Remix,I wanna know what's next,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 39 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
next to,prep.,A1,,,,,,,,Dua Lipa - Physical,Who needs to go to sleep when I got you next to me?,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 37 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nice,adj.,A1,,,,,,,,John Summit - What A Life,It's really nice to meet you,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 35 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
niche,n.,C1,,,,,,,,,,
night,n.,A1,,,,,,,,Matt Simons - After The Landslide - Remix,It's been keeping me up all night,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 34 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nightmare,n.,B2,,,,,,,,Taylor Swift - Blank Space,Cause darling I'm a nightmare dressed like a daydream,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 32 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nine,number,A1,,,,,,,,Jonas Blue - What I Like About You (feat. Theresa Rex),"She thinks I'm nine, uh-uh",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 31 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nineteen,number,A1,,,,,,,,,,
ninety,number,A1,,,,,,,,Arlo Parks - Weightless,But here I am at ninety degrees bent,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 29 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
no,det.,A1,,,,,,,,INNERVERSE - Reverie,No longer drift alone,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 27 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
no one,pron.,A1,,,,,,,,SOMMA - Harder We Fall,Hit me up and no one else (yeah),MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
noble,adj.,C1,,,,,,,,,,
nobody,pron.,A1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,Nobody's planned this but it's where I should be,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nod,v.,C1,,,,,,,,,,
noise,n.,A2,,,,,,,,Dua Lipa - Physical,"Lights out, follow the noise",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 22 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
noisy,adj.,A2,,,,,,,,,,
nominate,v.,C1,,,,,,,,,,
nomination,n.,C1,,,,,,,,,,
nominee,n.,C1,,,,,,,,,,
non-profit,adj.,C1,,,,,,,,,,
none,pron.,A2,,,,,,,,Jethro Heston - Cut Me Loose - Edit,"Promise none of this was planned but if you don't trust me, cut me loose",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 20 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nonetheless,adv.,C1,,,,,,,,,,
nonsense,n.,C1,,,,,,,,Riton - Turn Me On (feat. Vula),This fight is full of nonsense,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 19 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
noon,n.,C1,,,,,,,,Ed Sheeran - Antisocial (with Travis Scott),"I wake up by myself right past noon, right past noon, then I'm doomed",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 17 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nor,conj./adv.,B1,,,,,,,,D.O.D - Love Nor Money,D.O.D — Love Nor Money,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 15 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
norm,n.,B2,,,,,,,,Christina Aguilera - Not Myself Tonight,you'd know its not the norm,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 14 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
normal,adj.,A2,,,,,,,,Bebe Rexha - Last Hurrah,Can't wait to be normal,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 12 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
normal,n.,B1,,,,,,,,Bebe Rexha - Last Hurrah,Can't wait to be normal,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 11 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
normally,adv.,A2,,,,,,,,Olly Murs - Please Don't Let Me Go,Normally I try to run,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 09 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
north,adv.,A1,,,,,,,,Y2K - Lalala - Remix - [feat. Enrique Iglesias & Carly Rae Jepsen],"Carly so cold, she from the North, she from the Canada",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
northern,adj.,B1,,,,,,,,ILLENIUM - In Your Arms (with X Ambassadors),Yeah we may never sleep under Northern Lights,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 06 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nose,n.,A1,,,,,,,,Billie Eilish - bad guy,"White shirt, now red my bloody nose",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 04 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
not,adv.,A1,,,,,,,,INNERVERSE - Reverie,The dream when I’m not sleeping,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
notable,adj.,C1,,,,,,,,,,
notably,adv.,C1,,,,,,,,,,
note,n.,A1,,,,,,,,Able Heart - Whisper,"I'ma lead the way, end the night on a high note",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 33 MINUTES 01 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
note,v.,B1,,,,,,,,Able Heart - Whisper,"I'ma lead the way, end the night on a high note",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 59 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
notebook,n.,B2,,,,,,,,,,
nothing,pron.,A1,,,,,,,,Matt Simons - After The Landslide - Remix,"There's nothing left, nothing left, nothing left",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 57 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
notice,n.,A2,,,,,,,,Halsey - Without Me,I didn't notice 'cause my love was blind,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 56 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
notify,v.,C1,,,,,,,,,,
notion,n.,B2,,,,,,,,Calvin Harris - Giant (with Rag'n'Bone Man),And freed from the notion,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 54 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
notorious,adj.,C1,,,,,,,,Don Diablo - Believe,"Brothers notorious, empires turn to dust",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 52 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
novel,n.,A2,,,,,,,,,,
novel,adj.,C1,,,,,,,,,,
novelist,n.,B2,,,,,,,,,,
November,n.,A1,,,,,,,,,,
now,adv.,A1,,,,,,,,Ryan Skyy - Lovestruck,And now it's deep in my soul,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 51 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
now,conj.,B1,,,,,,,,Ryan Skyy - Lovestruck,And now it's deep in my soul,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 49 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nowadays,adv.,B2,,,,,,,,,,
nowhere,adv.,A2,,,,,,,,INNERVERSE - Reverie,Nowhere to go,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nuclear,adj.,B1,,,,,,,,,,
number,n.,A1,,,,,,,,Ariana Grande - 7 rings,"If it ain't money, then wrong number",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 46 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
number,v.,A2,,,,,,,,Ariana Grande - 7 rings,"If it ain't money, then wrong number",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 44 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
number A1,,,,,,,,,,,,
numerous,adj.,B2,,,,,,,,,,
nurse,n.,A1,,,,,,,,P!nk - Just Like a Pill,"I said, I tried to call the nurse again but she's being a little bitch",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 42 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
nursery,n.,C1,,,,,,,,,,
nursing,adj.,B2,,,,,,,,,,
nut,n.,A2,,,,,,,,,,
nutrition,n.,B2,,,,,,,,,,
o’clock,adv.,A1,,,,,,,,,,
obesity,n.,B2,,,,,,,,,,
obey,v.,B2,,,,,,,,Katy Perry - I Kissed a Girl,Hard to obey,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 40 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
object,n.,A1,,,,,,,,Glass Animals - A Tear in Space (Airlock),Object disappearance,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 39 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
object,v.,B2,,,,,,,,Glass Animals - A Tear in Space (Airlock),Object disappearance,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 37 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
objection,n.,C1,,,,,,,,,,
objective,adj.,B2,,,,,,,,,,
obligation,n.,B2,,,,,,,,,,
oblige,v.,C1,,,,,,,,,,
observation,n.,B2,,,,,,,,,,
observe,v.,B2,,,,,,,,Backstreet Boys - Show Me the Meaning of Being Lonely,Eyes of stone observe the trends,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 35 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
observer,n.,B2,,,,,,,,,,
obsess,v.,C1,,,,,,,,,,
obsession,n.,C1,,,,,,,,Tove Lo - Grapefruit,"Kill my obsession, please die",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 33 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
obstacle,n.,B2,,,,,,,,,,
obtain,v.,B2,,,,,,,,,,
obvious,adj.,B1,,,,,,,,Måneskin - THE LONELIEST,It's obvious,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 31 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
obviously,adv.,B1,,,,,,,,Tove Lo - HEAT,"I know you want me, obviously",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 30 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
occasion,n.,B1,,,,,,,,Britney Spears - Break the Ice,Can you rise to the occasion?,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 28 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
occasional,adj.,C1,,,,,,,,,,
occasionally,adv.,B2,,,,,,,,,,
occupation,n.,B2,,,,,,,,,,
occupy,v.,B2,,,,,,,,PVRIS - Hallucinations,"Hallucinations, you occupy",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
occur,v.,B1,,,,,,,,,,
occurrence,n.,C1,,,,,,,,,,
ocean,n.,A2,,,,,,,,INNERVERSE - Reverie,But we met at the ocean,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 32 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
